Time,Angle
28.951,220.66
28.952,220.64
28.952,220.63
28.955,220.62
28.957,220.60
28.957,220.59
28.959,220.57
28.965,220.56
28.965,220.55
28.965,220.54
28.967,220.52
28.968,220.51
28.972,220.50
28.973,220.49
28.978,220.48
28.980,220.47
28.980,220.46
28.981,220.45
28.984,220.44
28.990,220.43
28.990,220.42
28.995,220.41
28.998,220.40
28.998,220.39
28.999,220.38
28.999,220.38
29.005,220.37
29.005,220.36
29.007,220.35
29.008,220.35
29.008,220.34
29.009,220.33
29.014,220.32
29.016,220.32
29.017,220.31
29.017,220.31
29.020,220.30
29.022,220.29
29.023,220.29
29.077,220.28
29.078,220.27
29.078,220.27
29.078,220.26
29.082,220.26
29.082,220.26
29.082,220.25
29.082,220.25
29.082,220.24
29.084,220.24
29.086,220.24
29.087,220.24
29.091,220.24
29.092,220.24
29.094,220.24
29.097,220.24
29.097,220.24
29.098,220.25
29.159,220.25
29.159,220.25
29.160,220.25
29.160,220.25
29.160,220.25
29.162,220.26
29.166,220.26
29.168,220.26
29.171,220.27
29.171,220.27
29.171,220.27
29.171,220.28
29.171,220.28
29.173,220.49
29.174,220.50
29.179,220.51
29.179,220.52
29.182,220.53
29.183,220.54
29.249,220.55
29.251,220.57
29.251,220.58
29.252,220.59
29.253,220.60
29.254,220.61
29.254,220.62
29.254,220.64
29.254,220.65
29.254,220.66
29.257,221.13
29.258,221.15
29.259,221.17
29.263,221.19
29.264,221.21
29.266,221.23
29.269,221.25
29.350,221.27
29.350,221.29
29.352,221.31
29.353,221.33
29.355,221.35
29.355,221.37
29.355,221.39
29.355,221.42
29.355,221.44
29.428,222.47
29.428,222.50
29.428,222.53
29.428,222.56
29.431,222.59
29.431,222.63
29.431,222.66
29.431,222.69
29.431,222.72
29.434,223.90
29.434,223.94
29.435,223.98
29.605,224.02
29.614,224.06
29.614,224.10
29.623,224.14
29.639,224.18
29.641,224.22
29.653,224.26
29.654,224.30
29.656,224.34
29.656,224.38
29.656,224.43
29.656,224.47
29.658,230.16
29.660,230.22
29.663,230.28
29.670,230.34
29.670,230.41
29.670,230.47
29.670,230.53
29.670,230.59
29.670,230.94
29.672,231.01
29.673,231.07
29.691,231.14
29.691,231.20
29.697,231.27
29.697,231.33
29.700,231.40
29.702,231.46
29.702,231.53
29.706,231.59
29.712,231.66
29.712,231.72
29.712,231.79
29.712,231.86
29.712,231.92
29.714,232.30
29.715,232.36
29.718,232.43
29.720,232.50
29.723,232.57
29.723,232.64
29.723,232.71
29.724,232.77
29.727,232.84
29.730,232.91
29.732,232.98
29.732,233.05
29.736,233.12
29.736,233.19
29.740,233.26
29.740,233.33
29.745,233.40
29.809,233.47
29.810,233.54
29.810,233.62
29.823,233.69
29.889,233.76
29.890,233.83
29.891,233.90
29.891,233.97
29.891,234.05
29.891,234.12
29.891,234.19
29.893,236.72
29.895,236.80
29.897,236.87
29.902,236.95
29.902,237.03
29.902,237.11
29.902,237.19
29.902,237.27
29.904,239.82
29.909,239.90
29.963,239.98
29.963,240.07
29.963,240.15
29.963,240.24
29.964,240.32
29.965,240.41
29.967,240.50
29.971,240.58
29.973,240.67
29.973,240.75
29.973,240.84
29.973,240.92
29.973,241.01
29.975,242.98
29.982,243.07
29.982,243.16
29.983,243.25
29.984,243.34
29.988,243.43
30.051,243.52
30.051,243.61
30.051,243.70
30.052,243.79
30.054,243.88
30.055,243.97
30.055,244.06
30.055,244.15
30.055,244.24
30.058,246.60
30.059,246.70
30.059,246.79
30.061,246.89
30.064,246.98
30.064,247.08
30.066,247.18
30.068,247.27
30.071,247.37
30.074,247.46
30.075,247.56
30.075,247.66
30.079,247.75
30.080,247.85
30.082,247.95
30.084,248.04
30.088,248.14
30.089,248.24
30.092,248.33
30.094,248.43
30.095,248.53
30.098,248.63
30.101,248.73
30.103,248.82
30.103,248.92
30.105,249.02
30.107,249.17
30.109,249.27
30.111,249.37
30.116,249.46
30.116,249.56
30.116,249.66
30.119,249.76
30.121,249.86
30.123,249.96
30.125,250.06
30.128,250.16
30.130,250.26
30.133,250.36
30.134,250.46
30.139,250.56
30.141,250.66
30.141,250.76
30.142,250.86
30.144,250.96
30.145,251.06
30.149,251.17
30.150,251.27
30.151,251.37
30.155,251.47
30.157,251.57
30.157,251.67
30.159,251.77
30.162,251.88
30.164,251.98
30.166,252.08
30.169,252.18
30.170,252.28
30.173,252.38
30.177,252.49
30.178,252.59
30.178,252.74
30.183,252.84
30.183,252.95
30.186,253.05
30.188,253.15
30.189,253.26
30.191,253.36
30.193,253.46
30.195,253.56
30.198,253.67
30.198,253.77
30.199,253.87
30.203,253.98
30.204,254.08
30.205,254.19
30.208,254.29
30.213,254.39
30.214,254.50
30.216,254.60
30.217,254.71
30.219,254.81
30.223,254.92
30.225,255.02
30.225,255.13
30.274,255.23
30.275,255.34
30.276,255.45
30.277,255.55
30.278,255.66
30.283,255.76
30.284,255.87
30.284,255.98
30.284,256.08
30.284,256.19
30.286,258.53
30.295,258.64
30.295,258.75
30.295,258.86
30.296,258.97
30.299,259.08
30.465,259.19
30.465,259.30
30.465,259.41
30.466,259.52
30.467,259.63
30.467,259.74
30.467,259.85
30.467,259.96
30.467,260.06
30.468,268.81
30.469,268.92
30.472,269.04
30.538,269.16
30.538,269.27
30.538,269.39
30.538,269.50
30.540,269.68
30.541,269.80
30.542,269.91
30.548,270.03
30.548,270.15
